,date,open,high,low,close,volume,average,barCount,rsi,sma,smal,ema,bb_h,bb_l,bb_m,pos_rsi,pnl_rsi,capital,strategy,pos_bb,pnl_bb,cum_rsi,cum_bb
38,2018-04-25,262.91,264.13,260.85,263.63,698692,262.5845,270739,44.53156987589889,266.595,270.2787000000002,266.6436115334569,272.1414837906701,257.2735162093293,264.7074999999997,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
39,2018-04-26,264.79,267.25,264.29,266.31,501662,265.91,197473,46.85436124189742,266.161,270.2890000000002,266.46707710169915,272.11851511996935,257.70048488003005,264.9094999999997,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
40,2018-04-27,267.02,267.34,265.5,266.56,427468,266.564,162921,49.495075805269174,265.8656666666667,270.31150000000025,266.5197364253469,272.2487818344822,258.1622181655172,265.2054999999997,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
41,2018-04-30,267.24,267.89,264.43,264.51,544099,265.867,202661,49.75434240757449,265.62433333333337,270.32080000000025,266.58833295626624,272.4264091163366,258.45259088366265,265.4394999999996,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
42,2018-05-01,263.9,265.1,262.11,264.98,547141,263.6225,219878,45.98208200357403,265.31000000000006,270.31550000000027,266.3323012461457,272.0475899663222,259.33441003367705,265.69099999999963,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
43,2018-05-02,264.76,265.68,262.76,263.2,575545,264.2225,231183,47.06976631626719,265.1043333333334,270.33440000000024,266.18255827032226,270.9786922802885,261.20630771971076,266.09249999999963,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
44,2018-05-03,262.26,263.36,259.05,262.62,1004371,261.3595,399714,44.33790798732817,264.8163333333334,270.3261000000002,265.80898129219634,271.09026820478704,260.76673179521225,265.92849999999964,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
45,2018-05-04,261.48,266.79,261.15,266.02,601309,265.025,248162,43.508588043234795,264.60200000000003,270.2908000000002,265.3966973596062,271.2449583216231,260.41804167837626,265.83149999999966,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
46,2018-05-07,266.9,268.02,266.11,266.92,416651,267.1665,177417,50.30721659430365,264.6933333333334,270.30410000000023,265.5398690396437,271.1340291205713,261.08097087942804,266.1074999999997,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
47,2018-05-08,266.5,267.33,265.15,266.92,495207,266.322,193630,49.8412392354337,264.83900000000006,270.30340000000024,265.63131008348716,271.17599465401685,261.2620053459826,266.2189999999997,0.0,-0.0,101231.75000000001,bb,0.0,-0.0,0.0,1231.7499999999995
48,2018-05-09,267.68,269.87,267.09,269.5,462376,268.6745,186254,51.2436151156808,264.88933333333335,270.3096000000003,265.82642340886935,271.2582728231021,261.5997271768974,266.42899999999975,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
49,2018-05-10,270.35,272.39,270.22,272.02,471916,271.5295,190046,54.28769736408275,265.20933333333335,270.34190000000024,266.25724022707226,271.7691986737275,261.597801326272,266.68349999999975,0.0,0.0,101231.75000000001,bb,0.0,0.0,0.0,1231.7499999999995
